label,article
0,"ANIM na kasapi ng New People's Army ang napatay nang makasagupa ng mga tropa ng pamahalaaan ang rebeldeng grupo sa Tinambac, Camarines Sur, Miyerkules ng umaga, ayon sa militar. Ayon kay Capt. Joash Pramis, Army 9th Infantry Division public affairs officer, naganap ang sagupaan sa Brgy. Lupi, dakong alas-6.Nagsasagawa ng operasyon ang mga miyembro ng 83rd Infantry Battalion nang maengkuwentro ang aabot sa 15 rebelde, aniya. Tumagal nang 20 minuto ang bakbakan, at inulat ng naturang unit na anim na rebelde ang napatay, ani Pramis. Nakarekober din ang mga kawal ng Troops apat na M16 rifle, isang grenade launcher, at mga dokumento, aniya. Nagsasagawa pa ng follow-up operation ang mga sundalo habang isinusulat ang istoryang ito."
0,"INIREKOMENDA ng Department of Health sa Central Visayas (DOH-7) ang pagdedeklara ng dengue outbreak sa siyam na bayan at lungsod sa rehiyon sa harap naman ng mga batang tinatamaan ng dengue.  Sinabi ni Dr. Ronald Jarvik Buscato, DOH-7 dengue program coordinator, na lumagpas na ang mga apektadong lugar sa ""epidemic thresholds for the number of dengue cases"" at kailangan nang magdeklara ang kani-kanilang lokal na pamahalaan ng outbreak. Kabilang sa mga ipinadedeklara ang dengue outbreak ay Lapu-Lapu City at Sibonga town sa Cebu; Tagbilaran City at bayan ng Trinidad, Cortes, Dauis, Clarin, at Loon sa Bohol; at bayan ng Lazi, Siquijor.  ""The World Health Organization says an ""epidemic threshold"" is the critical number or density of susceptible hosts required for an epidemic to occur. The epidemic threshold is used to confirm the emergence of an epidemic so as to step up appropriate control measures,"" sabi ni Buscato. Idinagdag ni Buscato na tumaas din ng 10 porsiyento ang mga kaso ng dengue sa nakalipas na limang taon. Base sa datos ng Regional Epidemiology Surveillance Unit mula Enero 1 hanggang Pebrero 9, nakapagtala ng 3,076 ng kaso ng dengue na may 24 na mga nasawi sa Central Visayas. Mas mataas ito ng 215 porsiyento kumpara sa kaparehong panahon noong 2018."
0,"SINABI ni National Capital Region Police Office (NCRPO) chief Director Guillermo Eleazar na hindi totoo ang isang mensahe na umiikot sa social media kaugnay ng umano'y bantang pambobomba sa SM supermalls. Ito'y matapos naman ang mensahe mula sa isang Kyla Avonahceh na nakatanggap ang mga opisyal ng shopping mall mula sa Abu Sayyaf Group at humingi ng $15 million ""or else they're going to bomb the mall."" Hindi naman binanggit ng mensahe ang partikular na SM branch. ""This is a replay of a similar hoax meant to sow alarm and panic among the citizens in Metro Manila and done by people who are clearly enemies of the State or by irresponsible pranksters,"" sabi ni Eleazar sa isang pahayag. Idinagdag ni Eleazar na ganito rin ang umikot sa social media matapos ang pamboboma sa Roxas Night Market in Davao City noong Setyembre 2016, kung saan 15 ang namatay. ""Moreover, if the said threat is real, a more responsible company and a sane organization like SM would immediately go to us here at the NCRPO and any announcement will likely be done in the sober traditional media such as television, radio and print, rather than just in social media where fake news is already a permanent fixture,"" ayon pa kay Eleazar. ""Let us go by the required daily activities of life with our families, friends and co-workers. Let's continue to enjoy our lives. I ask our fellow Metro Manilans to be patient and cooperative with our heightened security procedures which is for the good of all,"" ayon pa kay Eleazar."
0,"INAPRUBAHAN ng House committee on basic education ang pagbabalik ng mandatory Reserve Officers Training Corps. Sa ilalim ng panukala, sasailalim sa ROTC ang mga Grade 11 at 12 o senior high school sa pampubliko at pribadong paaralan. Walang maaaring magtapos ng senior high school ng hindi dumadaan dito. Naghain ng mosyon si Batangas Rep. Raneo Abu, may-akda ng panukala, upang aprubahan na ito ng komite. Bago inalis, ang mga sumasailalim sa ROTC ay ang mga 1st at 2nd year college students. Wala pa noong senior high school. Exempted sa ROTC ang mga may kapansanan, sumasailalim na sa military training, at varsity player. Suportado ni Pangulong Duterte ang pagbabalik ng ROTC."
0,"KINONDENA ng Bayan Muna partylist ang pagpatay sa kanilang regional coordinator sa Cagayan Valley na pinagbabaril habang natutulog sa bus. Pinatay ang National Democratic Front of the Philippines peace consultant at Bayan Muna regional coordinator for Cagayan Valley na si Randy Felix Malayao isang araw matapos na muling sabihin ni Pangulong Duterte na hindi na itutuloy ang peace talk ng gobyerno at Communist Party of the Philippines. ""It is as if the perpetrators were just waiting for a go signal to execute their standing orders,"" ani Bayan Muna chairman Neri Colmenares. Sinabi naman ni bayan Muna Rep. Carlos Zarate na mas lalong lumabo na magkaroon ng peace agreement dahil sa pangyayaring ito. ""This is another nail on the coffin of the peace negotiations. It is truly tragic that while we are going all out to resume the peace negotiations, the militarist hawks in the Duterte administration are the ones running the show,"" ani Zarate. Ayon sa mga ulat, umakyat ang gunman sa bus kung saan natutulog si Malayao alas-2 ng umaga at pinagbabaril ito."
0,"ISANG kapitan ng barangay na tumatakbo sa pagkakongresista ang pinagbabaril at napatay ng riding-in tandem sa Quezon City ngayong araw. Dead on arrival sa FEU Hospital si Crisell 'Bheng' Beltran sanhi ng mga tama ng bala. Nasawi rin ang driver ni Beltran na si Melchor Salita na dinala sa General Malvar Hospital. Sakay si Beltran at tatlong iba pa ng puting Ford Everest (NDO 612) at binabagtas ang JP Rizal, Brgy. Bagong Silangan ng tabihan ng apat na lalaki na nakasakay ng dalawang motorsiklo alas-11:40 ng umaga. Pinagbabaril ng mga suspek ang sasakyan ng biktima. Nasugatan din sa pangyayari ang apat pang katao.  Inaalam pa ng pulisya ang motibo sa pamamaslang."
0,"MAYORYA ng mga Pinoy at Indonesian domestic helper sa Hong Kong ang nagtatrabaho ng 13 oras kada araw. Sa isang university survey, nadiskubre na karamihan ng mga banyagang domestic helper sa Hong Kong ay pinagtatrabaho ng mahigit sa 13 oras araw-araw. Tinanong ng Chinese University of Hong Kong Research Center on Migration and Mobility ang mahigit 2,000 kasambahay na Pinoy at Indonesian sa lungsod. Isinagawa ang survey noong 2017. Base sa survey, 61.7 porsiyento ng 2,017 helper ang nagtatrabaho mula 13 oras hanggang 16 na oras kada araw. Samantala, 8.9 porsiyento naman ang nagsabi na nagtatrabaho sila ng mahigit 16 na oras, samantalang 26.5 porsiyento ang nagtatrabaho ng siyam na oras hanggang 12 oras kada araw. Napag-alaman din ng center na 5.6 porsiyento ng mga helper ang hindi binibigyan ng day off kada linggo na ""a violation of standard employment contract."" Tinatayang 20 porsiyento naman ang nagsabi na hindi nila nakuha lahat ang 12 holida. Umabot naman sa 43 porsiyento ang nagsabi na may sarili silang kuwarto sa bahay ng kanilang amo. Napag-alaman din na apat na porsiyento sa mga kasambahay ang nakaranas ng pisikal na pang-aabuso ng kanilang mga employer. Sinabi naman ni professor Roger Chung Yat-nork na posibleng mas mataas ang datos. ""Some people would find this question too sensitive. It is safe to say that some people may refrain from telling the truth,"" ayon pa kay Yat-nork. Tinatayang aabot sa 370,000 ang mga banyagang kasambahay na nagtatrabaho sa Hong Kong, base sa datos mula sa Hong Kong employment agency HL&C Employment Agency Ltd noong Enero. Sa kabuuang 370,000 helper, tinatayang 200,000 ay mga Pinoy at 160,000 ay Indonesian."
0,"MAYROON umanong mga pabango na maaaring makamatay kapag naamoy. Ayon sa EcoWaste Coalition may mga pabango na nagtataglay ng allergenic at hormone disrupting substance kaya sumulat ito sa Food and Drugs Administration upang mapigilan ang pagbebenta nito. Hindi umano nakalagay ang sangkap na ginamit sa paggawa ng pabango kaya walang kamalay-malay ang mga mamimili kung ito ay may kemikal na makapagdudulot ng allergy, asthma, migraine headache at mga katulad na sakit. May mga pag-aaral din na nag-uugnay sa pabango sa pagkasira sa reproductive system. ""Our monitoring shows that fragrance products carrying different brand names are widely available in the informal market, particularly in the streets of Quiapo, Manila, where we managed to procure 16 different items,"" ani Thony Dizon, chemical safety campaigner ng EcoWaste. Hindi umano dumaan sa quality at safety assessment ang mga produkto na nabili ng EcoWaste sa mga vendor kaya hiningi nila ang tulong ng FDA."
0,"APAT na buntis na nasa 20s ang nagpositibo sa HIV noong Disyembre. Ayon kay Kabayan Rep. Ron Salo, isa sa may-akda ng Philippine HIV-AIDS Policy Act, ang apat ay kabilang sa 877 bagong kaso ng HIV na naitala noong Disyembre. ""All the adolescents (52) found to have been infected with HIV got it through sexual intercourse and two of them were in the 10 to 14 years age range. The four pregnant with HIV are in the 22 to 25 age range,"" ani Salo. Sinabi ni Salo na nakababahala ang pag-amin ng 108 pasyente na nagsabi na tumanggap sila ng bayad kapalit ng pakikipagtalik. Ang mga ito ay edad 17-53. Ang mas nakababahala umano ay ang mga edad 10-16 na nakipagtalik ng ""'no money involved' so other factors like rape, sexual abuse, molestation or experimentation would have been present."" ""We really need more prevention, education, and other forms of effective intervention. The new law must be implemented fast."" Makatutulong umano ng malaki ang bagong batas dahil maaari ng magpa-HIV test ang mga edad 15-18 kahit walang parental consent. ""Persons younger than 15 who are pregnant or engage in high-risk behavior making them open to infection can also choose to be tested but with the assistance of a licensed social worker or health worker,"" saad ng solon. Sa 71 namatay sa HIV-AIDS noong nakaraang taon, ay edad 15-24 taong gulang."
1,"Sa isang press conference, naghayag ng saloobin si Philippine National Police (PNP) Chief Oscar Albayalde sa programa ng ABS-CBN na ""Ang Probinsyano"" kung saan masama ang naging paglalarawan sa mga pulis, lalong-lalo na sa paglalarawan sa PNP Chief. Sa naturang programa, ipinapakita na magkasabwat si PNP chief Alejandro Terante (ginagampanan ni Soliman Cruz) at bise presidente Lucas Cabrera (ginagampanan ni Edu Manzano) sa iligal na gawain. Ang ABS-CBN ay madalas pagbantaan ni Pangulong Duterte na hindi ire-renew ang prangkisa dahil umano sa panlolokong ginawa sa kanyang noong eleksyon. ""Things are quite unusual here and it gives us a bad impression actually. It's a bit unfair to PNP when you portray that kind of (bad) activity that doesn't really happen in our organization...Parang hindi naman fair sa PNP. Lets be realistic. It is very disturbing at para kasing nakikita nung mga tao ay instant yung justice. Parang it is ok, it is not. We are a nation of law, not of men,"" sabi ni Albayalde. Sinuportahan naman ng karamihan sa mga kababayan natin ang naging pahayag ni PNP Chief Albayalde. Sang-ayon din ba kayo sa naging pahayag ni Sir Albayalde? Source: News5 | PTV4"
1,"Nahuli na si Jojo Valerio, ang lalaki sa viral video na nananakit, nanggitgit at nagpakilalang anak ng kongresista sa nakaaway niyang motorista. Pero sa isang panayam, umaatungal at nagagalit ang nanay ng suspek. Ayon sa ina ni Valerio, hindi raw maganda ang naging paraan sa paghuli sa anak niya. ""Kinuha at dinukot ang anak ko, binugbog ang anak ko, yun ang pakialam namin."" sabi ng nanay ng suspek. Si Valerio ay bida din sa isa pang viral video kung saan ginigitgit at sinundan pa nito ang isang babae dahil lang nasingitan siya sa kalsada. Bukod sa pananakit, nakita rin na gumagamit ang suspek ng palakang numero 8. Ang plate number 8 ay protocol plate para lang sa mga kongresista. Hindi naman nagustuhan ng mga kababayan natin ang tono ng pagsasalita ng nanay ng road rage suspect. Ito pa po ang karagdagang ulat mula sa GMA News kaugnay pa rin sa suspek na si Valerio. Source: News5 | GMA News"
1,"Kaawa-awa ang sinapit ni Meiji Fernandez sa kamay ng isang notoryus na durugista. Pinagnakawan na ng motor ang 21-anyos na dalaga, hindi pa nakuntento at pinagbabaril pa ito ng suspek. Nangyari ang krimen sa isang subdibisyon sa Bacoor, Cavite. Si Fernandez ay kaatatapos palang sa kolehiyo ngayon taon at pupunta sana sa isang job interview. ""Iyan ang anak kong makulit, palakaibigan. HIndi na nga natutulugan iyan eh. "" sabi ng nanay ni Meiji na si Josefina. Nahuli naman agad ang suspek na nakilalang si Domingo Pagar na isang notoryus na pusher. Mahaharap si Pagar sa murder, carnapping at paglabag sa anti-drug law. Naki-simpatya naman ang mga netizens sa pamilya ni Meiji at hinihiling na huwag ng patagalin ang buhay ng suspek. Sinisisi rin ng iba ang Commission on Human Rights at mga grpong kontra sa anti-drug campaign ni Pangulong Duterte. Source: ABS-CBN"
1,"Itong mga nagdaan na mga araw, pumutok ang balitang ibabalik na diumano ng Estados Unidos ang Balangiga Bells na kinuha ng mga Amerikano sa Pilipinas bilang war trophy. Matatandaang iginiit ni Pangulong Rodrigo Duterte na maisauli ang naturang bell dahil pagma may-ari nga naman ito ng Pilipinas. Sa isang maalaskang social media post, tinanong ng beteranong mamamahayag na si Jay SOnza kung maibabalik ba ang nawawalang pondo ng Philhealth kung mumurahin din ni Pangulong Duterte si Senador Risa Hontiveros. ""Duterte minura Amerika, ibinalik Balangiga bells. kung murahin kaya niya si Hontiveros , isauli kaya missing Philhealth funds?,"" sabi ni Sonza. Ito po ang ilang reaksyon ng mga kababayan natin sa sinabi ni Sonza. Source: Jay Sonza"
1,"Pasado na sa ikatlo at huling pagbasa ang panukalang batas na naglalayon na bawalan ang sinuman na magsagawa ng ""marahas"" na pagdidisiplina sa mga bata. Layon din nito na marespeto ang karapatan-pantao ng mga kabataan. Ang naturang panukala ay nakakuha ng suporta sa 160 na mambabatas habang 2 naman ang tumutol dito. Hindi naman nagustuhan ng karamihan sa mga kababayan natin ang naturang panukalang batas. Ayon sa kanila, didisiplinahin nila ang kanilang mga anak ayon sa pamamaraan na kailangan. Kinastigo din ng mga netizens ang mga mambabatas na sumuporta sa panukala. Kung kayo ang tatanungin, sang-ayon ba kayo sa panukalang batas na ito? Source: PTV"
1,"Naaresto na ng otoridad ang road rage suspect sa viral video na nanakit ng kapwa niya motorista sa may Pampanga na nagpakilalang anak pa ng kongresista. Ayon sa ulat, kinilala ang suspek na si Jojo Valerio at walang koneksyon ito kay Congressman Jon Lazatin. Nagtatrabaho ito bilang entertainer at lead vocalist ng isang banda. Hindi pa malaman kung saan nakuha ng suspek ang numero 8 plaka na karaniwang ginagamit lang ng mga miyembro ng kongreso. Si Valerio ay nasakote sa isang bar sa Tarlac ng mga operatiba ng Police Regional Office 3 and the Criminal Investigation and Detection Group. Mahaharap sa kasong usurpation of authority, serious physical injury, grave threats, at paglabag sa batas trapiko ang mokong na suspek. Source: GMA News | News5"
1,"Tila gustong maka-diskusyon ng mga Pilipino sa United Kingdom si MAGDALO Representative Gary Alejano ng magpunta ang kongresista doon para sumalang sa isang speaking engagement. Nagtungo sa lugar na pagdadausan ng speaking engagement ni Alejano ang mga miyembro ng Duterte Die-Hard Supporter pero nabigo silang makaharap si Alejano. Ayon sa ilang tao na nakunan sa video, duwag daw ang kongresista dahil hindi sila hinarap. Source: DDS-UK thru Flick-Clicks"
1,"Sapul na sapul sa hidden video ng impormante ni Presidential Anti-Corruption Commission (PACC) Commissioner Greco Belgica ang umano'y pangingikil ni District Engineer Lorna Ricardo ng Department of Public Works and Highways (DPWH) sa isang contractor. Ayon sa ulat ng GMA News, nanghihingi umano ng P20 million ang nasabing opisyal. ""These are ordinary people, then they encounter this. The video is enough to prove that she violated R.A. 6713, which is the ethical standard of a public employee. Sa akin, Kung tinotokhang natin ang adik, dapat tinotokhang natin ang korap, ""sabi ni Belgica. Source: GMA News"
1,"Sa isang open letter, ipinahayag ni British citizen Malcolm Conlan ang pagtutol niya sa pagbisita ni MAGDALO representative Gary Alejano sa United Kingdom. Ayon sa Briton, magtutungo lang si Alejano sa kanyang bansa para lang sirain si Presidente Rodrigo Duterte. "" I am sure you appreciate though that there are many Filipinos in the UK and foreigners like myself, who do not welcome your visit. One of the reasons of course was because in 2016, you maliciously reported President Rodrigo Duterte to the ICC, falsely claiming that he was on some kind of killing spree in the Philippines? You are also here to spread fake news, I can say this for a fact, as one of the topics you are apparently speaking about is 'Rodrigo Duterte's Drug Killings' which there are none as President Duterte has not killed even one person. It's all just fake news by biased international media and trouble makers who wish to make the President look bad.""sabi ni Conlan. Panoorin ang video ni Conlan matapos ang speaking engagement na nangyari sa U.K. kung saan speaker si Alejano. Source: Malcolm Conlan"
1,"Kaaba-aba ang sinapit ng mga batang mag-aaral sa Magpet, Cotabato. Ayon sa ulat ng GMA News at Remate, sinunog diumano ng mga suspected New People's Army (NPA) mula sa Guerilla Front 53 ang day care center kung saan nag-aaral ang mga musmos. Nagpanggap umano ang mga pesteng komunista na mga miyembro ng kasundaluhan, pinalabas ang mga batang estudyante at mga guro, at saka sinilaban ang silid aralan, ayon kay Magpet Police Chief Inspector Jun Napat. Iginapos pa umano ng mga rebelde ang mga guro habang nagsisi-iyakan ang mga bata. Nangingikil umano ng P50,000 ang mga komunista bilang revolutionary tax sa barangay at nang hindi naibigay ang kapritso nila ay saka sinunog ng mga kawatan ang day care center. Hindi naman agad naka-responde ang mga otoridad dahil may itinanim umanong mga bomba ang mga rebeldeng komunista sa mga kalsada. ""That was relayed to us by our contacts in the area saying that other members of Guerilla Front 53 of the New People's Army will conduct roadside bombing and ambuscades to any government troops who will proceed to the area to conduct investigation and pursuit operation,"" sabi ni Napat. Bumuhos ang simpatya ng mga kababayan natin sa naapektohan sa pamemerwisyo ng mga komunista. Ang NPA ay ang armed group ng Communist Party of the Philippines kung saan ang chairman nito ay si Jose Maria Sison. Source: GMA News | Remate"
